,dataset,target,no_feat,no_rows,tr_RMSE,te_RMSE,model_class,model_complexity,k,d,l
169,wages_demographics,earn,9,1379,43042.68070139545,39123.767612442825,xgboost,42,1,5,10
170,wages_demographics,earn,9,1379,43640.167095947465,39652.81438798612,xgboost,14,1,5,100
171,wages_demographics,earn,9,1379,39257.68581334441,34952.94672020166,xgboost,12,3,1,1
172,wages_demographics,earn,9,1379,39369.02849513092,35069.744369901695,xgboost,12,3,1,10
173,wages_demographics,earn,9,1379,40188.16839886937,35895.35024615135,xgboost,12,3,1,100
174,wages_demographics,earn,9,1379,38078.86553103309,33676.417382246014,xgboost,48,3,3,1
175,wages_demographics,earn,9,1379,38602.92566115196,34218.64892219616,xgboost,48,3,3,10
176,wages_demographics,earn,9,1379,40051.57279728866,35718.64785383485,xgboost,40,3,3,100
177,wages_demographics,earn,9,1379,37660.536837654545,33418.80942551876,xgboost,166,3,5,1
178,wages_demographics,earn,9,1379,38507.62331935712,34408.79911775132,xgboost,138,3,5,10
179,wages_demographics,earn,9,1379,40048.84148341763,35717.43428560887,xgboost,54,3,5,100
180,wages_demographics,earn,9,1379,31907.403504526257,27045.507300532867,xgboost,40,10,1,1
181,wages_demographics,earn,9,1379,32100.653218745865,27341.682247561388,xgboost,40,10,1,10
182,wages_demographics,earn,9,1379,33185.59398265696,28358.638868717484,xgboost,40,10,1,100
183,wages_demographics,earn,9,1379,29179.055287156276,25657.3537436896,xgboost,160,10,3,1
184,wages_demographics,earn,9,1379,29971.622753624273,25528.344149465967,xgboost,160,10,3,10
185,wages_demographics,earn,9,1379,32452.081163499908,27666.62224596849,xgboost,150,10,3,100
186,wages_demographics,earn,9,1379,27626.090912271236,25541.43690788769,xgboost,570,10,5,1
187,wages_demographics,earn,9,1379,29272.32052017168,25793.763357686752,xgboost,478,10,5,10
188,wages_demographics,earn,9,1379,32433.35900565531,27748.755710904315,xgboost,334,10,5,100
